PathName	X	Y
nhanthachdong	1608	3215
nhanthachdong	1621	3209
nhanthachdong	1636	3197
nhanthachdong	1652	3179
nhanthachdong	1630	3156
nhanthachdong	1609	3141
nhanthachdong	1604	3121
nhanthachdong	1610	3110
nhanthachdong	1622	3093
nhanthachdong	1630	3088
nhanthachdong	1643	3071
nhanthachdong	1662	3054
nhanthachdong	1685	3071
nhanthachdong	1708	3088
nhanthachdong	1727	3109
nhanthachdong	1745	3118
nhanthachdong	1751	3108
nhanthachdong	1763	3097
nhanthachdong	1778	3081
nhanthachdong	1764	3061
nhanthachdong	1770	3028
nhanthachdong	1775	3015
nhanthachdong	1796	3009
nhanthachdong	1813	2988
nhanthachdong	1832	3010
nhanthachdong	1846	3026
nhanthachdong	1862	3049
nhanthachdong	1878	3065
nhanthachdong	1890	3088
nhanthachdong	1902	3119
nhanthachdong	1909	3137
nhanthachdong	1896	3158
nhanthachdong	1888	3178
nhanthachdong	1879	3201
nhanthachdong	1867	3219
nhanthachdong	1850	3243
nhanthachdong	1845	3261
nhanthachdong	1830	3278
nhanthachdong	1821	3270
nhanthachdong	1842	3264
nhanthachdong	1855	3233
nhanthachdong	1872	3214
nhanthachdong	1886	3185
nhanthachdong	1900	3165
nhanthachdong	1905	3133
nhanthachdong	1888	3106
nhanthachdong	1890	3096
nhanthachdong	1879	3067
nhanthachdong	1858	3052
nhanthachdong	1844	3078
nhanthachdong	1824	3101
nhanthachdong	1808	3127
nhanthachdong	1792	3149
nhanthachdong	1782	3151
nhanthachdong	1761	3175
nhanthachdong	1747	3193
nhanthachdong	1751	3216
nhanthachdong	1766	3232
nhanthachdong	1755	3247
nhanthachdong	1741	3263
nhanthachdong	1738	3280
nhanthachdong	1727	3292
