PathName	X	Y
mocnhanhang	1580	3417
mocnhanhang	1595	3405
mocnhanhang	1612	3427
mocnhanhang	1627	3441
mocnhanhang	1642	3426
mocnhanhang	1661	3405
mocnhanhang	1675	3394
mocnhanhang	1675	3381
mocnhanhang	1660	3366
mocnhanhang	1650	3359
mocnhanhang	1638	3346
mocnhanhang	1633	3354
mocnhanhang	1622	3351
mocnhanhang	1615	3362
mocnhanhang	1602	3377
mocnhanhang	1582	3355
mocnhanhang	1575	3347
mocnhanhang	1592	3326
mocnhanhang	1601	3306
mocnhanhang	1587	3294
mocnhanhang	1570	3277
mocnhanhang	1570	3262
mocnhanhang	1584	3251
mocnhanhang	1597	3235
mocnhanhang	1606	3225
mocnhanhang	1618	3248
mocnhanhang	1621	3255
mocnhanhang	1634	3256
mocnhanhang	1647	3234
mocnhanhang	1661	3241
mocnhanhang	1671	3253
mocnhanhang	1685	3272
mocnhanhang	1704	3255
mocnhanhang	1717	3239
mocnhanhang	1728	3225
mocnhanhang	1728	3231
mocnhanhang	1710	3248
mocnhanhang	1688	3270
mocnhanhang	1671	3287
mocnhanhang	1693	3309
mocnhanhang	1714	3334
mocnhanhang	1718	3344
mocnhanhang	1708	3361
mocnhanhang	1689	3374
mocnhanhang	1674	3393
mocnhanhang	1655	3419
mocnhanhang	1637	3434
mocnhanhang	1627	3441
mocnhanhang	1611	3425
mocnhanhang	1591	3407
mocnhanhang	1581	3420
