PathName	X	Y
matthatthieulam	1675	3361
matthatthieulam	1688	3341
matthatthieulam	1674	3326
matthatthieulam	1644	3298
matthatthieulam	1625	3276
matthatthieulam	1601	3254
matthatthieulam	1577	3226
matthatthieulam	1593	3207
matthatthieulam	1616	3183
matthatthieulam	1633	3169
matthatthieulam	1645	3180
matthatthieulam	1655	3193
matthatthieulam	1675	3175
matthatthieulam	1698	3155
matthatthieulam	1716	3139
matthatthieulam	1729	3132
matthatthieulam	1753	3139
matthatthieulam	1770	3160
matthatthieulam	1796	3184
matthatthieulam	1801	3189
matthatthieulam	1814	3184
matthatthieulam	1831	3202
matthatthieulam	1852	3221
matthatthieulam	1875	3248
matthatthieulam	1885	3262
matthatthieulam	1880	3275
matthatthieulam	1864	3295
matthatthieulam	1847	3276
matthatthieulam	1828	3260
matthatthieulam	1821	3253
matthatthieulam	1806	3271
matthatthieulam	1788	3286
matthatthieulam	1775	3304
matthatthieulam	1756	3319
matthatthieulam	1742	3338
matthatthieulam	1761	3358
matthatthieulam	1745	3375
matthatthieulam	1731	3387
matthatthieulam	1709	3363
matthatthieulam	1687	3348
matthatthieulam	1705	3325
matthatthieulam	1726	3304
matthatthieulam	1737	3287
matthatthieulam	1743	3269
matthatthieulam	1749	3255
matthatthieulam	1731	3230
matthatthieulam	1711	3212
matthatthieulam	1690	3230
matthatthieulam	1682	3229
matthatthieulam	1672	3231
matthatthieulam	1658	3245
matthatthieulam	1675	3266
matthatthieulam	1695	3286
matthatthieulam	1718	3307
