PathName	X	Y
lahantran	1499	3312
lahantran	1516	3297
lahantran	1533	3317
lahantran	1550	3301
lahantran	1568	3286
lahantran	1585	3305
lahantran	1593	3313
lahantran	1599	3316
lahantran	1610	3313
lahantran	1627	3310
lahantran	1640	3291
lahantran	1657	3314
lahantran	1677	3326
lahantran	1676	3341
lahantran	1675	3359
lahantran	1661	3374
lahantran	1646	3393
lahantran	1663	3410
lahantran	1682	3429
lahantran	1671	3450
lahantran	1659	3470
lahantran	1647	3453
lahantran	1634	3444
lahantran	1622	3438
lahantran	1609	3455
lahantran	1608	3469
lahantran	1621	3485
lahantran	1619	3498
lahantran	1639	3524
lahantran	1657	3544
lahantran	1673	3545
lahantran	1687	3523
lahantran	1696	3518
lahantran	1719	3536
lahantran	1731	3517
lahantran	1743	3504
lahantran	1739	3484
lahantran	1732	3476
lahantran	1710	3453
lahantran	1706	3437
lahantran	1698	3422
lahantran	1690	3419
lahantran	1684	3420
lahantran	1674	3415
lahantran	1657	3401
lahantran	1654	3386
lahantran	1666	3367
lahantran	1678	3357
lahantran	1675	3348
lahantran	1676	3332
lahantran	1685	3331
lahantran	1694	3330
lahantran	1709	3326
lahantran	1719	3311
lahantran	1731	3298
lahantran	1730	3284
lahantran	1707	3261
lahantran	1704	3254
lahantran	1696	3228
lahantran	1713	3208
lahantran	1693	3191
lahantran	1672	3170
lahantran	1654	3151
lahantran	1636	3166
