PathName	X	Y
tuongvandong	1787	2980
tuongvandong	1769	2990
tuongvandong	1762	3010
tuongvandong	1749	3025
tuongvandong	1733	3042
tuongvandong	1735	3055
tuongvandong	1721	3075
tuongvandong	1704	3094
tuongvandong	1687	3084
tuongvandong	1671	3066
tuongvandong	1655	3054
tuongvandong	1642	3054
tuongvandong	1625	3072
tuongvandong	1613	3093
tuongvandong	1619	3111
tuongvandong	1628	3122
tuongvandong	1642	3131
tuongvandong	1639	3149
tuongvandong	1630	3157
tuongvandong	1609	3170
tuongvandong	1607	3196
tuongvandong	1626	3208
tuongvandong	1645	3218
tuongvandong	1654	3204
tuongvandong	1666	3197
tuongvandong	1683	3206
tuongvandong	1697	3216
tuongvandong	1704	3207
tuongvandong	1714	3190
tuongvandong	1723	3177
tuongvandong	1736	3156
tuongvandong	1745	3133
tuongvandong	1756	3115
tuongvandong	1764	3096
tuongvandong	1756	3073
tuongvandong	1739	3057
tuongvandong	1729	3036
tuongvandong	1735	3022
tuongvandong	1762	3022
tuongvandong	1776	3029
tuongvandong	1794	3049
tuongvandong	1817	3067
tuongvandong	1824	3085
tuongvandong	1816	3099
tuongvandong	1808	3119
tuongvandong	1796	3140
tuongvandong	1785	3158
tuongvandong	1772	3185
tuongvandong	1756	3204
tuongvandong	1740	3227
tuongvandong	1717	3228
tuongvandong	1705	3218
