PathName	X	Y
laohodong	1698	3363
laohodong	1697	3348
laohodong	1683	3345
laohodong	1675	3353
laohodong	1657	3366
laohodong	1644	3372
laohodong	1631	3379
laohodong	1620	3383
laohodong	1608	3398
laohodong	1595	3391
laohodong	1586	3377
laohodong	1572	3367
laohodong	1569	3350
laohodong	1569	3329
laohodong	1571	3304
laohodong	1583	3293
laohodong	1587	3288
laohodong	1600	3300
laohodong	1612	3315
laohodong	1624	3331
laohodong	1631	3325
laohodong	1644	3316
laohodong	1661	3316
laohodong	1667	3298
laohodong	1673	3269
laohodong	1683	3250
laohodong	1686	3223
laohodong	1682	3206
laohodong	1672	3201
laohodong	1660	3201
laohodong	1649	3206
laohodong	1645	3220
laohodong	1639	3232
laohodong	1623	3226
laohodong	1611	3217
laohodong	1605	3235
laohodong	1594	3256
laohodong	1584	3257
