PathName	X	Y
canviendong	1672	3420
canviendong	1686	3415
canviendong	1680	3402
canviendong	1677	3392
canviendong	1671	3386
canviendong	1673	3374
canviendong	1674	3365
canviendong	1689	3366
canviendong	1692	3353
canviendong	1684	3348
canviendong	1674	3349
canviendong	1673	3360
canviendong	1673	3381
canviendong	1667	3389
canviendong	1656	3399
canviendong	1647	3408
canviendong	1634	3405
canviendong	1623	3396
canviendong	1612	3390
canviendong	1603	3386
canviendong	1597	3386
canviendong	1589	3379
canviendong	1590	3366
canviendong	1593	3362
canviendong	1603	3354
canviendong	1613	3349
canviendong	1612	3340
canviendong	1619	3335
canviendong	1623	3316
canviendong	1614	3311
canviendong	1610	3317
canviendong	1600	3317
canviendong	1586	3312
canviendong	1582	3297
canviendong	1574	3279
canviendong	1594	3275
canviendong	1603	3272
canviendong	1613	3273
canviendong	1623	3272
canviendong	1622	3247
canviendong	1613	3232
canviendong	1606	3227
canviendong	1591	3212
canviendong	1604	3218
canviendong	1615	3229
canviendong	1626	3237
canviendong	1627	3252
canviendong	1627	3269
canviendong	1635	3280
canviendong	1648	3291
canviendong	1662	3289
canviendong	1664	3278
