PathName	X	Y
diadaohauvien	1589	3188
diadaohauvien	1600	3202
diadaohauvien	1619	3223
diadaohauvien	1636	3241
diadaohauvien	1651	3264
diadaohauvien	1670	3275
diadaohauvien	1680	3248
diadaohauvien	1684	3234
diadaohauvien	1686	3206
diadaohauvien	1697	3184
diadaohauvien	1695	3156
diadaohauvien	1707	3140
diadaohauvien	1724	3156
diadaohauvien	1731	3155
diadaohauvien	1746	3152
diadaohauvien	1759	3153
diadaohauvien	1781	3161
diadaohauvien	1794	3178
diadaohauvien	1792	3188
diadaohauvien	1776	3204
diadaohauvien	1761	3219
diadaohauvien	1754	3236
diadaohauvien	1745	3248
diadaohauvien	1754	3266
diadaohauvien	1764	3272
diadaohauvien	1772	3269
diadaohauvien	1784	3273
diadaohauvien	1780	3288
diadaohauvien	1765	3306
diadaohauvien	1746	3323
diadaohauvien	1725	3340
diadaohauvien	1716	3321
diadaohauvien	1699	3307
diadaohauvien	1684	3297
diadaohauvien	1669	3277
diadaohauvien	1648	3259
diadaohauvien	1634	3240
diadaohauvien	1640	3226
diadaohauvien	1647	3209
diadaohauvien	1635	3192
diadaohauvien	1628	3176
diadaohauvien	1621	3175
diadaohauvien	1598	3193
