PathName	X	Y
banghuyetdong	1701	3407
banghuyetdong	1683	3394
banghuyetdong	1665	3385
banghuyetdong	1643	3386
banghuyetdong	1622	3383
banghuyetdong	1603	3363
banghuyetdong	1586	3367
banghuyetdong	1567	3369
banghuyetdong	1543	3376
banghuyetdong	1527	3355
banghuyetdong	1515	3334
banghuyetdong	1508	3323
banghuyetdong	1491	3296
banghuyetdong	1476	3271
banghuyetdong	1472	3248
banghuyetdong	1473	3219
banghuyetdong	1479	3200
banghuyetdong	1491	3184
banghuyetdong	1504	3173
banghuyetdong	1522	3155
banghuyetdong	1549	3131
banghuyetdong	1551	3123
banghuyetdong	1567	3108
banghuyetdong	1592	3104
banghuyetdong	1614	3106
banghuyetdong	1636	3123
banghuyetdong	1651	3142
banghuyetdong	1658	3170
banghuyetdong	1668	3190
banghuyetdong	1651	3202
banghuyetdong	1639	3214
banghuyetdong	1627	3190
banghuyetdong	1621	3167
banghuyetdong	1612	3160
banghuyetdong	1595	3149
banghuyetdong	1581	3153
banghuyetdong	1563	3167
banghuyetdong	1546	3190
banghuyetdong	1565	3204
banghuyetdong	1587	3230
banghuyetdong	1599	3255
banghuyetdong	1612	3272
banghuyetdong	1602	3294
banghuyetdong	1585	3296
banghuyetdong	1567	3292
banghuyetdong	1549	3285
