PathName	X	Y
kienthinhphong	1752	3197
kienthinhphong	1759	3182
kienthinhphong	1757	3158
kienthinhphong	1746	3140
kienthinhphong	1729	3123
kienthinhphong	1719	3117
kienthinhphong	1704	3131
kienthinhphong	1695	3140
kienthinhphong	1686	3128
kienthinhphong	1675	3117
kienthinhphong	1660	3099
kienthinhphong	1639	3076
kienthinhphong	1633	3064
kienthinhphong	1646	3050
kienthinhphong	1667	3027
kienthinhphong	1690	3020
kienthinhphong	1693	2999
kienthinhphong	1697	2979
kienthinhphong	1678	2955
kienthinhphong	1658	2938
kienthinhphong	1640	2918
kienthinhphong	1629	2922
kienthinhphong	1619	2935
kienthinhphong	1602	2922
kienthinhphong	1585	2902
kienthinhphong	1578	2890
kienthinhphong	1567	2887
kienthinhphong	1546	2901
kienthinhphong	1528	2912
kienthinhphong	1519	2928
kienthinhphong	1522	2955
kienthinhphong	1516	2925
kienthinhphong	1529	2918
kienthinhphong	1539	2900
kienthinhphong	1527	2881
kienthinhphong	1528	2858
kienthinhphong	1545	2844
kienthinhphong	1547	2823
kienthinhphong	1564	2818
kienthinhphong	1580	2835
kienthinhphong	1596	2859
kienthinhphong	1586	2878
kienthinhphong	1584	2899
kienthinhphong	1601	2922
kienthinhphong	1619	2932
kienthinhphong	1639	2913
kienthinhphong	1653	2895
kienthinhphong	1662	2881
kienthinhphong	1681	2866
kienthinhphong	1673	2838
kienthinhphong	1665	2827
kienthinhphong	1668	2805
kienthinhphong	1675	2788
kienthinhphong	1666	2762
kienthinhphong	1679	2742
