PathName	X	Y
duocvuongcoc	2433	3731
duocvuongcoc	2439	3712
duocvuongcoc	2434	3663
duocvuongcoc	2414	3646
duocvuongcoc	2411	3621
duocvuongcoc	2395	3597
duocvuongcoc	2393	3563
duocvuongcoc	2400	3546
duocvuongcoc	2421	3548
duocvuongcoc	2442	3564
duocvuongcoc	2442	3599
duocvuongcoc	2473	3610
duocvuongcoc	2475	3584
duocvuongcoc	2477	3553
duocvuongcoc	2470	3514
duocvuongcoc	2474	3475
duocvuongcoc	2469	3442
duocvuongcoc	2474	3417
duocvuongcoc	2460	3402
duocvuongcoc	2444	3404
duocvuongcoc	2426	3404
duocvuongcoc	2409	3410
duocvuongcoc	2401	3397
duocvuongcoc	2389	3365
duocvuongcoc	2389	3358
duocvuongcoc	2367	3358
duocvuongcoc	2351	3349
duocvuongcoc	2345	3315
duocvuongcoc	2333	3287
duocvuongcoc	2316	3286
duocvuongcoc	2308	3288
duocvuongcoc	2346	3301
duocvuongcoc	2358	3280
duocvuongcoc	2370	3256
duocvuongcoc	2395	3262
duocvuongcoc	2414	3238
duocvuongcoc	2421	3215
duocvuongcoc	2424	3187
duocvuongcoc	2400	3177
duocvuongcoc	2376	3198
duocvuongcoc	2348	3206
duocvuongcoc	2331	3229
duocvuongcoc	2311	3234
duocvuongcoc	2309	3222
duocvuongcoc	2328	3232
duocvuongcoc	2345	3220
duocvuongcoc	2360	3208
duocvuongcoc	2386	3192
duocvuongcoc	2418	3186
duocvuongcoc	2445	3184
duocvuongcoc	2458	3184
duocvuongcoc	2461	3207
duocvuongcoc	2486	3215
duocvuongcoc	2510	3221
duocvuongcoc	2520	3235
duocvuongcoc	2511	3261
duocvuongcoc	2502	3283
duocvuongcoc	2495	3281
duocvuongcoc	2476	3287
duocvuongcoc	2455	3281
duocvuongcoc	2436	3280
