PathName	X	Y
manhhodong	1590	3215
manhhodong	1610	3199
manhhodong	1627	3216
manhhodong	1649	3192
manhhodong	1628	3167
manhhodong	1646	3190
manhhodong	1634	3206
manhhodong	1631	3217
manhhodong	1606	3239
manhhodong	1624	3257
manhhodong	1636	3267
manhhodong	1654	3247
manhhodong	1673	3235
manhhodong	1697	3208
manhhodong	1718	3228
manhhodong	1736	3211
manhhodong	1748	3223
manhhodong	1763	3210
manhhodong	1772	3222
manhhodong	1789	3204
manhhodong	1802	3221
manhhodong	1791	3240
manhhodong	1771	3258
manhhodong	1780	3272
manhhodong	1769	3282
manhhodong	1758	3296
manhhodong	1737	3279
manhhodong	1720	3288
manhhodong	1709	3306
manhhodong	1684	3281
manhhodong	1698	3266
manhhodong	1678	3242
manhhodong	1671	3234
