PathName	X	Y
thientamthaptang1	1616	3136
thientamthaptang1	1622	3119
thientamthaptang1	1633	3103
thientamthaptang1	1618	3086
thientamthaptang1	1603	3071
thientamthaptang1	1587	3082
thientamthaptang1	1569	3098
thientamthaptang1	1551	3117
thientamthaptang1	1567	3140
thientamthaptang1	1583	3156
thientamthaptang1	1601	3175
thientamthaptang1	1622	3196
thientamthaptang1	1645	3217
thientamthaptang1	1665	3234
thientamthaptang1	1679	3212
thientamthaptang1	1693	3196
thientamthaptang1	1702	3184
thientamthaptang1	1688	3167
thientamthaptang1	1668	3150
thientamthaptang1	1663	3140
thientamthaptang1	1679	3122
thientamthaptang1	1684	3110
thientamthaptang1	1667	3094
thientamthaptang1	1647	3074
thientamthaptang1	1628	3052
thientamthaptang1	1603	3030
thientamthaptang1	1581	3005
thientamthaptang1	1570	2993
thientamthaptang1	1577	2972
thientamthaptang1	1594	2958
thientamthaptang1	1609	2940
thientamthaptang1	1623	2930
thientamthaptang1	1637	2913
thientamthaptang1	1653	2926
thientamthaptang1	1679	2948
thientamthaptang1	1688	2960
thientamthaptang1	1676	2977
thientamthaptang1	1665	2991
thientamthaptang1	1640	2969
thientamthaptang1	1623	2980
thientamthaptang1	1611	2995
thientamthaptang1	1631	3011
thientamthaptang1	1648	3031
thientamthaptang1	1672	3049
thientamthaptang1	1692	3024
thientamthaptang1	1717	3002
thientamthaptang1	1730	2990
thientamthaptang1	1740	2978
thientamthaptang1	1761	2957
thientamthaptang1	1776	2946
thientamthaptang1	1798	2961
thientamthaptang1	1820	2987
thientamthaptang1	1828	3000
thientamthaptang1	1816	3020
thientamthaptang1	1805	3032
thientamthaptang1	1815	3049
thientamthaptang1	1841	3078
thientamthaptang1	1822	3098
thientamthaptang1	1812	3111
thientamthaptang1	1834	3137
thientamthaptang1	1830	3150
thientamthaptang1	1813	3171
thientamthaptang1	1799	3190
thientamthaptang1	1787	3190
