PathName	X	Y
thophidong	1605	3191
thophidong	1617	3189
thophidong	1631	3196
thophidong	1640	3210
thophidong	1654	3214
thophidong	1668	3203
thophidong	1672	3195
thophidong	1661	3175
thophidong	1648	3160
thophidong	1634	3149
thophidong	1625	3137
thophidong	1613	3143
thophidong	1600	3150
thophidong	1585	3135
thophidong	1569	3115
thophidong	1562	3098
thophidong	1581	3076
thophidong	1600	3089
thophidong	1618	3086
thophidong	1633	3102
thophidong	1644	3108
thophidong	1670	3090
thophidong	1688	3104
thophidong	1701	3113
thophidong	1715	3113
thophidong	1732	3101
thophidong	1747	3079
thophidong	1739	3063
thophidong	1729	3048
thophidong	1724	3039
thophidong	1710	3044
thophidong	1693	3053
thophidong	1680	3044
thophidong	1672	3032
thophidong	1675	3004
thophidong	1694	2990
thophidong	1714	2987
thophidong	1728	2999
thophidong	1733	3014
thophidong	1728	3031
thophidong	1725	3039
thophidong	1737	3059
thophidong	1747	3074
thophidong	1732	3098
thophidong	1746	3125
thophidong	1770	3145
thophidong	1792	3170
thophidong	1808	3188
thophidong	1800	3218
thophidong	1788	3230
thophidong	1807	3247
thophidong	1813	3262
thophidong	1797	3286
thophidong	1784	3295
thophidong	1772	3288
thophidong	1758	3277
thophidong	1742	3267
thophidong	1728	3281
thophidong	1713	3292
thophidong	1716	3319
thophidong	1733	3337
thophidong	1719	3359
thophidong	1707	3366
thophidong	1696	3373
