PathName	X	Y
latieuson1	1618	3292
latieuson1	1617	3263
latieuson1	1608	3241
latieuson1	1620	3220
latieuson1	1637	3195
latieuson1	1649	3163
latieuson1	1656	3125
latieuson1	1642	3111
latieuson1	1623	3122
latieuson1	1611	3106
latieuson1	1630	3125
latieuson1	1651	3124
latieuson1	1672	3132
latieuson1	1698	3143
latieuson1	1709	3141
latieuson1	1720	3125
latieuson1	1727	3099
latieuson1	1751	3101
latieuson1	1759	3074
latieuson1	1762	3047
latieuson1	1762	3016
latieuson1	1746	2995
latieuson1	1745	2965
latieuson1	1742	2948
latieuson1	1747	2988
latieuson1	1760	3014
latieuson1	1760	3051
latieuson1	1759	3079
latieuson1	1749	3098
latieuson1	1763	3127
latieuson1	1751	3157
latieuson1	1734	3176
latieuson1	1716	3199
latieuson1	1710	3225
latieuson1	1724	3256
latieuson1	1754	3257
latieuson1	1761	3223
latieuson1	1781	3235
latieuson1	1810	3254
latieuson1	1823	3258
latieuson1	1808	3243
latieuson1	1790	3230
latieuson1	1772	3204
latieuson1	1783	3190
latieuson1	1794	3170
latieuson1	1803	3150
latieuson1	1803	3110
latieuson1	1811	3079
latieuson1	1832	3079
latieuson1	1847	3095
latieuson1	1862	3112
latieuson1	1874	3121
latieuson1	1895	3113
latieuson1	1914	3111
latieuson1	1937	3128
latieuson1	1958	3151
latieuson1	1981	3156
latieuson1	1988	3131
latieuson1	2009	3126
latieuson1	2030	3148
latieuson1	2043	3149
latieuson1	2045	3126
latieuson1	2059	3106
latieuson1	2059	3075
latieuson2	2042	3061
latieuson2	2025	3037
latieuson2	2003	3019
latieuson2	1984	2994
latieuson2	1977	2983
latieuson2	1982	2950
latieuson2	1988	2918
latieuson2	1988	2893
latieuson2	2000	2874
latieuson2	2012	2842
latieuson2	1996	2812
latieuson2	1986	2796
latieuson2	2003	2768
latieuson2	2017	2735
latieuson2	2000	2710
latieuson2	1988	2702
latieuson2	1979	2712
latieuson2	1969	2738
latieuson2	1957	2736
latieuson2	1939	2714
latieuson2	1922	2700
latieuson2	1906	2674
latieuson2	1896	2651
latieuson2	1903	2627
latieuson2	1900	2598
latieuson2	1888	2579
latieuson2	1868	2564
latieuson2	1845	2560
latieuson2	1827	2584
latieuson2	1807	2597
latieuson2	1804	2622
latieuson2	1812	2648
latieuson2	1831	2668
latieuson2	1849	2694
latieuson2	1861	2712
latieuson2	1852	2730
latieuson2	1854	2757
latieuson2	1866	2778
latieuson2	1864	2806
latieuson2	1857	2824
latieuson2	1838	2824
latieuson2	1821	2804
latieuson2	1806	2781
latieuson2	1793	2753
latieuson2	1777	2734
latieuson2	1762	2715
latieuson2	1744	2694
latieuson2	1730	2671
latieuson2	1714	2651
latieuson2	1714	2634
latieuson2	1720	2616
latieuson2	1725	2596
