PathName	X	Y
longcungdong	1552	2928
longcungdong	1564	2918
longcungdong	1564	2894
longcungdong	1552	2873
longcungdong	1538	2854
longcungdong	1522	2860
longcungdong	1505	2878
longcungdong	1500	2892
longcungdong	1492	2913
longcungdong	1490	2938
longcungdong	1508	2956
longcungdong	1516	2979
longcungdong	1527	2991
longcungdong	1518	3017
longcungdong	1507	3030
longcungdong	1490	3053
longcungdong	1475	3078
longcungdong	1451	3074
longcungdong	1440	3090
longcungdong	1431	3113
longcungdong	1446	3134
longcungdong	1467	3146
longcungdong	1485	3164
longcungdong	1507	3176
longcungdong	1521	3167
longcungdong	1546	3179
longcungdong	1560	3183
longcungdong	1565	3156
longcungdong	1573	3140
longcungdong	1594	3117
longcungdong	1609	3088
longcungdong	1623	3074
longcungdong	1635	3077
longcungdong	1661	3071
longcungdong	1674	3060
longcungdong	1690	3046
longcungdong	1704	3038
longcungdong	1721	3058
longcungdong	1741	3070
longcungdong	1750	3078
longcungdong	1765	3061
longcungdong	1771	3054
longcungdong	1761	3027
longcungdong	1771	3002
longcungdong	1772	2978
longcungdong	1783	2953
longcungdong	1793	2933
longcungdong	1807	2932
