PathName	X	Y
thanhkedong	1522	2955
thanhkedong	1514	2931
thanhkedong	1527	2917
thanhkedong	1536	2901
thanhkedong	1530	2887
thanhkedong	1522	2874
thanhkedong	1532	2857
thanhkedong	1544	2845
thanhkedong	1542	2821
thanhkedong	1557	2817
thanhkedong	1571	2831
thanhkedong	1588	2855
thanhkedong	1594	2865
thanhkedong	1583	2889
thanhkedong	1580	2897
thanhkedong	1600	2923
thanhkedong	1615	2930
thanhkedong	1634	2920
thanhkedong	1645	2909
thanhkedong	1664	2881
thanhkedong	1680	2873
thanhkedong	1677	2852
thanhkedong	1667	2829
thanhkedong	1664	2822
thanhkedong	1670	2805
thanhkedong	1677	2784
thanhkedong	1665	2764
thanhkedong	1679	2742
thanhkedong	1666	2764
thanhkedong	1676	2788
thanhkedong	1670	2800
thanhkedong	1665	2827
thanhkedong	1675	2848
thanhkedong	1681	2863
thanhkedong	1666	2878
thanhkedong	1649	2894
thanhkedong	1647	2909
thanhkedong	1647	2932
thanhkedong	1662	2946
thanhkedong	1682	2958
thanhkedong	1696	2982
thanhkedong	1691	3004
thanhkedong	1688	3020
thanhkedong	1676	3027
thanhkedong	1658	3036
thanhkedong	1651	3044
thanhkedong	1628	3073
thanhkedong	1638	3082
thanhkedong	1657	3100
thanhkedong	1675	3113
thanhkedong	1690	3133
thanhkedong	1701	3140
thanhkedong	1714	3127
thanhkedong	1726	3125
thanhkedong	1745	3140
thanhkedong	1755	3156
thanhkedong	1762	3183
thanhkedong	1757	3198
