PathName	X	Y
duongtrungdong	1698	3408
duongtrungdong	1684	3390
duongtrungdong	1667	3391
duongtrungdong	1643	3389
duongtrungdong	1633	3382
duongtrungdong	1614	3371
duongtrungdong	1598	3364
duongtrungdong	1583	3363
duongtrungdong	1566	3365
duongtrungdong	1551	3377
duongtrungdong	1541	3370
duongtrungdong	1524	3349
duongtrungdong	1507	3321
duongtrungdong	1486	3298
duongtrungdong	1482	3275
duongtrungdong	1469	3246
duongtrungdong	1462	3232
duongtrungdong	1443	3247
duongtrungdong	1433	3244
duongtrungdong	1417	3227
duongtrungdong	1406	3208
duongtrungdong	1420	3194
duongtrungdong	1420	3177
duongtrungdong	1398	3150
duongtrungdong	1392	3142
duongtrungdong	1384	3126
duongtrungdong	1368	3120
duongtrungdong	1352	3113
duongtrungdong	1332	3097
duongtrungdong	1315	3109
duongtrungdong	1298	3096
duongtrungdong	1284	3078
duongtrungdong	1270	3063
duongtrungdong	1281	3040
duongtrungdong	1303	3039
duongtrungdong	1323	3035
duongtrungdong	1336	3033
duongtrungdong	1350	3020
duongtrungdong	1355	3001
duongtrungdong	1379	2997
duongtrungdong	1401	2988
duongtrungdong	1426	2987
duongtrungdong	1439	2995
duongtrungdong	1456	3002
duongtrungdong	1469	3025
duongtrungdong	1481	3054
duongtrungdong	1490	3067
duongtrungdong	1494	3092
duongtrungdong	1498	3116
duongtrungdong	1513	3121
duongtrungdong	1523	3144
duongtrungdong	1527	3148
duongtrungdong	1537	3142
duongtrungdong	1548	3127
duongtrungdong	1558	3117
duongtrungdong	1575	3107
duongtrungdong	1594	3105
duongtrungdong	1614	3105
duongtrungdong	1632	3119
duongtrungdong	1641	3130
duongtrungdong	1650	3141
duongtrungdong	1658	3170
duongtrungdong	1672	3187
duongtrungdong	1657	3201
