PathName	X	Y
samactang2	1630	3107
samactang2	1616	3126
samactang2	1599	3148
samactang2	1582	3163
samactang2	1573	3175
samactang2	1582	3185
samactang2	1605	3214
samactang2	1619	3224
samactang2	1631	3214
samactang2	1641	3199
samactang2	1654	3189
samactang2	1678	3166
samactang2	1700	3146
samactang2	1717	3123
samactang2	1732	3107
samactang2	1746	3092
samactang2	1767	3071
samactang2	1780	3058
samactang2	1798	3057
samactang2	1812	3077
samactang2	1817	3100
samactang2	1818	3120
samactang2	1803	3143
samactang2	1779	3165
samactang2	1759	3191
samactang2	1748	3207
samactang2	1738	3223
samactang2	1747	3246
samactang2	1755	3274
samactang2	1772	3301
samactang2	1785	3305
samactang2	1802	3288
samactang2	1825	3273
samactang2	1837	3247
samactang2	1850	3233
samactang2	1863	3220
samactang2	1875	3218
samactang2	1888	3234
samactang2	1907	3261
samactang2	1896	3279
samactang2	1883	3304
samactang2	1865	3325
samactang2	1853	3308
samactang2	1840	3280
samactang2	1823	3262
samactang2	1814	3232
samactang2	1802	3204
samactang2	1783	3183
samactang2	1774	3170
samactang2	1763	3191
samactang2	1747	3210
samactang2	1732	3216
samactang2	1721	3195
samactang2	1705	3174
samactang2	1686	3151
samactang2	1669	3170
samactang2	1654	3191
samactang2	1634	3212
samactang2	1622	3221
samactang2	1638	3249
samactang2	1641	3266
samactang2	1665	3294
samactang2	1675	3319
samactang2	1697	3337
