PathName	X	Y
huongthuydong_1	1698	3184
huongthuydong_1	1713	3170
huongthuydong_1	1729	3160
huongthuydong_1	1745	3137
huongthuydong_1	1756	3129
huongthuydong_1	1775	3108
huongthuydong_1	1792	3120
huongthuydong_1	1804	3137
huongthuydong_1	1822	3156
huongthuydong_1	1806	3175
huongthuydong_1	1787	3195
huongthuydong_1	1768	3210
huongthuydong_1	1752	3226
huongthuydong_1	1742	3241
huongthuydong_1	1756	3258
huongthuydong_1	1772	3269
huongthuydong_1	1779	3281
huongthuydong_1	1791	3282
huongthuydong_1	1808	3269
huongthuydong_1	1826	3247
huongthuydong_1	1837	3240
huongthuydong_1	1839	3224
huongthuydong_1	1829	3206
huongthuydong_1	1837	3188
huongthuydong_1	1852	3178
huongthuydong_1	1870	3163
huongthuydong_1	1884	3162
huongthuydong_1	1893	3177
huongthuydong_1	1911	3191
huongthuydong_1	1929	3213
huongthuydong_1	1954	3238
huongthuydong_1	1967	3249
huongthuydong_1	1971	3263
huongthuydong_1	1963	3283
huongthuydong_1	1945	3298
huongthuydong_1	1928	3320
huongthuydong_1	1911	3329
huongthuydong_1	1889	3355
huongthuydong_1	1867	3371
huongthuydong_1	1855	3394
huongthuydong_1	1832	3409
huongthuydong_1	1825	3416
huongthuydong_1	1804	3405
huongthuydong_1	1804	3397
huongthuydong_1	1786	3378
huongthuydong_1	1773	3370
huongthuydong_1	1754	3356
huongthuydong_1	1739	3335
huongthuydong_1	1720	3315
huongthuydong_1	1729	3297
huongthuydong_1	1748	3294
huongthuydong_1	1762	3309
huongthuydong_1	1784	3324
huongthuydong_1	1801	3345
huongthuydong_1	1816	3356
huongthuydong_1	1831	3341
huongthuydong_1	1848	3326
huongthuydong_1	1857	3312
huongthuydong_1	1846	3297
huongthuydong_1	1839	3285
huongthuydong_1	1852	3267
huongthuydong_1	1871	3250
huongthuydong_1	1883	3261
huongthuydong_1	1902	3281
huongthuydong_2	1827	3417
huongthuydong_2	1844	3443
huongthuydong_2	1861	3453
huongthuydong_2	1876	3473
huongthuydong_2	1900	3495
huongthuydong_2	1911	3477
huongthuydong_2	1930	3453
huongthuydong_2	1917	3440
huongthuydong_2	1910	3432
huongthuydong_2	1891	3443
huongthuydong_2	1881	3428
huongthuydong_2	1879	3407
huongthuydong_2	1896	3394
huongthuydong_2	1913	3378
huongthuydong_2	1932	3360
huongthuydong_2	1954	3380
huongthuydong_2	1964	3381
huongthuydong_2	1932	3366
huongthuydong_2	1924	3365
huongthuydong_2	1904	3386
huongthuydong_2	1885	3404
huongthuydong_2	1878	3414
huongthuydong_2	1878	3429
huongthuydong_2	1901	3442
huongthuydong_2	1911	3435
huongthuydong_2	1923	3446
huongthuydong_2	1945	3466
huongthuydong_2	1954	3481
huongthuydong_2	1950	3495
huongthuydong_2	1965	3513
huongthuydong_2	1976	3510
huongthuydong_2	1987	3500
huongthuydong_2	2001	3477
huongthuydong_2	2032	3453
huongthuydong_2	2057	3428
huongthuydong_2	2076	3409
huongthuydong_2	2094	3390
huongthuydong_2	2113	3375
huongthuydong_2	2130	3353
huongthuydong_2	2144	3343
huongthuydong_2	2155	3329
huongthuydong_2	2171	3315
huongthuydong_2	2153	3300
huongthuydong_2	2135	3277
huongthuydong_2	2121	3257
huongthuydong_2	2099	3237
huongthuydong_2	2078	3220
huongthuydong_2	2056	3203
huongthuydong_2	2045	3201
huongthuydong_2	2019	3218
huongthuydong_2	2005	3239
huongthuydong_2	1991	3228
huongthuydong_2	1974	3205
huongthuydong_2	1946	3186
huongthuydong_2	1932	3168
huongthuydong_2	1947	3153
huongthuydong_2	1959	3152
huongthuydong_2	1975	3163
huongthuydong_2	1991	3186
huongthuydong_2	2001	3186
huongthuydong_2	2012	3183
huongthuydong_2	2017	3160
huongthuydong_2	2003	3143
huongthuydong_2	1993	3136
huongthuydong_3	1972	3115
huongthuydong_3	1960	3099
huongthuydong_3	1949	3100
huongthuydong_3	1939	3095
huongthuydong_3	1926	3071
huongthuydong_3	1917	3057
huongthuydong_3	1909	3053
huongthuydong_3	1897	3032
huongthuydong_3	1882	3020
huongthuydong_3	1862	3004
huongthuydong_3	1849	2986
huongthuydong_3	1834	2978
huongthuydong_3	1830	2962
huongthuydong_3	1846	2943
huongthuydong_3	1862	2926
huongthuydong_3	1879	2905
huongthuydong_3	1894	2889
huongthuydong_3	1911	2875
huongthuydong_3	1927	2859
huongthuydong_3	1942	2849
huongthuydong_3	1958	2861
huongthuydong_3	1963	2871
huongthuydong_3	1947	2891
huongthuydong_3	1934	2901
huongthuydong_3	1917	2921
huongthuydong_3	1893	2939
huongthuydong_3	1879	2964
huongthuydong_3	1897	2991
huongthuydong_3	1913	3003
huongthuydong_3	1930	3024
huongthuydong_3	1948	3042
huongthuydong_3	1966	3062
huongthuydong_3	1979	3069
huongthuydong_3	1996	3085
huongthuydong_3	2011	3104
huongthuydong_3	2025	3116
huongthuydong_3	2040	3111
huongthuydong_3	2046	3085
huongthuydong_3	2037	3078
huongthuydong_3	2028	3069
huongthuydong_3	2020	3056
huongthuydong_3	2007	3051
huongthuydong_3	1991	3035
huongthuydong_3	2000	3028
huongthuydong_3	2018	3018
huongthuydong_3	2031	3027
huongthuydong_3	2049	3046
huongthuydong_3	2066	3060
huongthuydong_3	2080	3079
huongthuydong_3	2097	3093
huongthuydong_3	2113	3084
huongthuydong_3	2130	3063
huongthuydong_3	2145	3048
huongthuydong_3	2161	3061
huongthuydong_3	2168	3071
huongthuydong_3	2162	3080
huongthuydong_3	2152	3097
huongthuydong_3	2167	3112
huongthuydong_3	2193	3138
huongthuydong_3	2179	3161
huongthuydong_3	2180	3175
huongthuydong_3	2193	3199
huongthuydong_3	2173	3214
huongthuydong_3	2153	3240
