PathName	X	Y
hoasondinh	2291	4091
hoasondinh	2313	4090
hoasondinh	2321	4080
hoasondinh	2328	4065
hoasondinh	2324	4028
hoasondinh	2336	4005
hoasondinh	2350	3980
hoasondinh	2365	3960
hoasondinh	2378	3938
hoasondinh	2391	3931
hoasondinh	2405	3933
hoasondinh	2422	3939
hoasondinh	2445	3956
hoasondinh	2459	3935
hoasondinh	2473	3925
hoasondinh	2488	3904
hoasondinh	2503	3899
hoasondinh	2506	3871
hoasondinh	2500	3838
hoasondinh	2492	3809
hoasondinh	2486	3794
hoasondinh	2471	3804
hoasondinh	2449	3807
hoasondinh	2436	3817
hoasondinh	2416	3818
hoasondinh	2407	3813
hoasondinh	2405	3793
hoasondinh	2404	3761
hoasondinh	2396	3735
hoasondinh	2409	3713
hoasondinh	2408	3686
hoasondinh	2403	3653
hoasondinh	2404	3617
hoasondinh	2427	3605
hoasondinh	2452	3591
hoasondinh	2475	3581
hoasondinh	2493	3607
hoasondinh	2512	3605
hoasondinh	2531	3608
hoasondinh	2550	3623
hoasondinh	2566	3638
hoasondinh	2585	3645
hoasondinh	2593	3618
