PathName	X	Y
phucnguusontay	2070	2807
phucnguusontay	2061	2816
phucnguusontay	2043	2823
phucnguusontay	2026	2840
phucnguusontay	2025	2854
phucnguusontay	2031	2885
phucnguusontay	2041	2909
phucnguusontay	2056	2910
phucnguusontay	2069	2903
phucnguusontay	2091	2892
phucnguusontay	2100	2878
phucnguusontay	2117	2867
phucnguusontay	2137	2861
phucnguusontay	2153	2867
phucnguusontay	2170	2851
phucnguusontay	2188	2842
phucnguusontay	2210	2844
phucnguusontay	2214	2871
phucnguusontay	2224	2896
phucnguusontay	2233	2927
phucnguusontay	2236	2960
phucnguusontay	2236	2984
phucnguusontay	2229	2989
phucnguusontay	2212	3007
phucnguusontay	2192	3029
phucnguusontay	2172	3038
phucnguusontay	2148	3053
phucnguusontay	2127	3063
phucnguusontay	2109	3074
phucnguusontay	2095	3091
phucnguusontay	2076	3101
phucnguusontay	2048	3091
phucnguusontay	2021	3096
phucnguusontay	1996	3105
phucnguusontay	1969	3123
phucnguusontay	1949	3135
phucnguusontay	1928	3146
phucnguusontay	1917	3131
phucnguusontay	1903	3092
phucnguusontay	1884	3084
phucnguusontay	1868	3094
phucnguusontay	1858	3064
phucnguusontay	1844	3031
phucnguusontay	1828	3001
phucnguusontay	1802	2992
phucnguusontay	1784	2982
phucnguusontay	1761	2998
phucnguusontay	1746	3020
phucnguusontay	1735	3050
phucnguusontay	1741	3075
phucnguusontay	1757	3100
phucnguusontay	1778	3108
phucnguusontay	1790	3089
phucnguusontay	1788	3085
phucnguusontay	1779	3102
