PathName	X	Y
thanhdongtang1	1666	3291
thanhdongtang1	1674	3294
thanhdongtang1	1697	3315
thanhdongtang1	1710	3327
thanhdongtang1	1727	3306
thanhdongtang1	1738	3311
thanhdongtang1	1751	3324
thanhdongtang1	1755	3326
thanhdongtang1	1762	3318
thanhdongtang1	1776	3304
thanhdongtang1	1789	3290
thanhdongtang1	1805	3276
thanhdongtang1	1813	3263
thanhdongtang1	1805	3251
thanhdongtang1	1794	3239
thanhdongtang1	1779	3223
thanhdongtang1	1760	3205
thanhdongtang1	1749	3194
thanhdongtang1	1735	3181
thanhdongtang1	1719	3160
thanhdongtang1	1709	3151
thanhdongtang1	1720	3136
thanhdongtang1	1736	3121
thanhdongtang1	1744	3123
thanhdongtang1	1757	3138
thanhdongtang1	1775	3154
thanhdongtang1	1794	3171
thanhdongtang1	1807	3187
thanhdongtang1	1826	3205
thanhdongtang1	1839	3218
thanhdongtang1	1846	3229
thanhdongtang1	1834	3245
thanhdongtang1	1826	3254
thanhdongtang1	1823	3266
thanhdongtang1	1834	3280
thanhdongtang1	1843	3283
thanhdongtang1	1859	3275
thanhdongtang1	1871	3260
thanhdongtang1	1888	3244
thanhdongtang1	1900	3231
thanhdongtang1	1890	3215
thanhdongtang1	1881	3207
