PathName	X	Y
hoanhsonphai	1589	3215
hoanhsonphai	1595	3216
hoanhsonphai	1605	3230
hoanhsonphai	1607	3240
hoanhsonphai	1605	3248
hoanhsonphai	1599	3247
hoanhsonphai	1591	3242
hoanhsonphai	1581	3230
hoanhsonphai	1575	3228
hoanhsonphai	1564	3239
hoanhsonphai	1556	3251
hoanhsonphai	1553	3255
hoanhsonphai	1545	3268
hoanhsonphai	1533	3285
hoanhsonphai	1514	3310
hoanhsonphai	1498	3329
hoanhsonphai	1489	3326
hoanhsonphai	1481	3314
hoanhsonphai	1486	3298
hoanhsonphai	1489	3272
hoanhsonphai	1496	3246
hoanhsonphai	1504	3231
hoanhsonphai	1518	3207
hoanhsonphai	1531	3196
hoanhsonphai	1542	3178
hoanhsonphai	1555	3168
hoanhsonphai	1562	3155
hoanhsonphai	1574	3158
hoanhsonphai	1585	3147
hoanhsonphai	1597	3145
hoanhsonphai	1619	3141
hoanhsonphai	1628	3160
hoanhsonphai	1635	3178
hoanhsonphai	1658	3200
hoanhsonphai	1661	3222
hoanhsonphai	1664	3243
hoanhsonphai	1649	3258
hoanhsonphai	1647	3280
hoanhsonphai	1626	3294
hoanhsonphai	1609	3310
hoanhsonphai	1595	3311
hoanhsonphai	1576	3310
hoanhsonphai	1569	3314
hoanhsonphai	1557	3300
hoanhsonphai	1541	3296
hoanhsonphai	1522	3303
hoanhsonphai	1504	3330
hoanhsonphai	1500	3344
hoanhsonphai	1497	3374
hoanhsonphai	1513	3393
hoanhsonphai	1524	3416
hoanhsonphai	1515	3441
hoanhsonphai	1506	3471
hoanhsonphai	1491	3465
hoanhsonphai	1473	3458
hoanhsonphai	1467	3478
hoanhsonphai	1480	3500
hoanhsonphai	1500	3506
hoanhsonphai	1506	3485
hoanhsonphai	1515	3455
hoanhsonphai	1533	3452
hoanhsonphai	1543	3460
hoanhsonphai	1554	3439
hoanhsonphai	1548	3425
