PathName	X	Y
kinhhoangdong_1	1811	3467
kinhhoangdong_1	1792	3485
kinhhoangdong_1	1784	3496
kinhhoangdong_1	1781	3514
kinhhoangdong_1	1790	3538
kinhhoangdong_1	1811	3560
kinhhoangdong_1	1803	3575
kinhhoangdong_1	1784	3603
kinhhoangdong_1	1764	3613
kinhhoangdong_1	1755	3588
kinhhoangdong_1	1741	3563
kinhhoangdong_1	1726	3543
kinhhoangdong_1	1708	3521
kinhhoangdong_1	1690	3503
kinhhoangdong_1	1668	3489
kinhhoangdong_1	1651	3458
kinhhoangdong_1	1635	3457
kinhhoangdong_1	1619	3481
kinhhoangdong_1	1616	3495
kinhhoangdong_1	1626	3512
kinhhoangdong_1	1635	3530
kinhhoangdong_1	1638	3540
kinhhoangdong_1	1618	3560
kinhhoangdong_1	1600	3576
kinhhoangdong_1	1603	3595
kinhhoangdong_1	1620	3613
kinhhoangdong_1	1638	3624
kinhhoangdong_1	1657	3642
kinhhoangdong_1	1673	3639
kinhhoangdong_1	1682	3624
kinhhoangdong_1	1696	3612
kinhhoangdong_1	1706	3600
kinhhoangdong_2	1637	3432
kinhhoangdong_2	1623	3420
kinhhoangdong_2	1610	3401
kinhhoangdong_2	1602	3392
kinhhoangdong_2	1588	3388
kinhhoangdong_2	1573	3405
kinhhoangdong_2	1558	3418
kinhhoangdong_2	1545	3431
kinhhoangdong_2	1530	3444
kinhhoangdong_2	1511	3435
kinhhoangdong_2	1497	3417
kinhhoangdong_2	1497	3403
kinhhoangdong_2	1513	3383
kinhhoangdong_2	1532	3369
kinhhoangdong_2	1547	3343
kinhhoangdong_2	1563	3324
kinhhoangdong_2	1580	3307
kinhhoangdong_2	1602	3286
kinhhoangdong_2	1615	3273
kinhhoangdong_2	1626	3261
kinhhoangdong_2	1605	3277
kinhhoangdong_2	1583	3303
kinhhoangdong_2	1596	3314
kinhhoangdong_2	1611	3340
kinhhoangdong_2	1630	3354
kinhhoangdong_2	1652	3370
kinhhoangdong_2	1672	3389
kinhhoangdong_2	1689	3403
kinhhoangdong_2	1705	3393
kinhhoangdong_2	1724	3371
kinhhoangdong_2	1738	3350
kinhhoangdong_2	1734	3313
kinhhoangdong_2	1715	3288
kinhhoangdong_2	1701	3275
kinhhoangdong_2	1693	3266
kinhhoangdong_2	1682	3285
kinhhoangdong_2	1667	3300
kinhhoangdong_2	1669	3317
kinhhoangdong_2	1685	3334
kinhhoangdong_2	1691	3340
