PathName	X	Y
thienvuongdao	1596	3250
thienvuongdao	1606	3228
thienvuongdao	1594	3216
thienvuongdao	1576	3191
thienvuongdao	1565	3171
thienvuongdao	1581	3157
thienvuongdao	1595	3135
thienvuongdao	1585	3112
thienvuongdao	1574	3095
thienvuongdao	1582	3069
thienvuongdao	1568	3051
thienvuongdao	1547	3032
thienvuongdao	1554	3016
thienvuongdao	1564	3005
thienvuongdao	1573	2986
thienvuongdao	1586	2989
thienvuongdao	1586	3018
thienvuongdao	1599	3023
thienvuongdao	1610	3025
thienvuongdao	1628	3027
thienvuongdao	1637	3035
thienvuongdao	1647	3033
thienvuongdao	1652	3015
thienvuongdao	1674	3029
thienvuongdao	1687	3031
thienvuongdao	1711	3056
thienvuongdao	1729	3056
thienvuongdao	1744	3076
thienvuongdao	1747	3091
thienvuongdao	1735	3116
thienvuongdao	1735	3129
thienvuongdao	1754	3138
thienvuongdao	1770	3153
thienvuongdao	1760	3174
thienvuongdao	1766	3189
thienvuongdao	1782	3208
thienvuongdao	1793	3196
thienvuongdao	1803	3194
thienvuongdao	1814	3172
thienvuongdao	1822	3162
thienvuongdao	1839	3154
thienvuongdao	1851	3166
thienvuongdao	1850	3187
thienvuongdao	1866	3206
thienvuongdao	1858	3230
thienvuongdao	1846	3246
thienvuongdao	1829	3249
thienvuongdao	1817	3263
thienvuongdao	1799	3265
thienvuongdao	1787	3273
thienvuongdao	1775	3290
thienvuongdao	1766	3298
thienvuongdao	1752	3292
thienvuongdao	1743	3293
thienvuongdao	1719	3284
thienvuongdao	1692	3273
thienvuongdao	1669	3256
thienvuongdao	1649	3248
thienvuongdao	1631	3240
thienvuongdao	1621	3233
