PathName	X	Y
daydongdinhhotang1	1596	3199
daydongdinhhotang1	1605	3207
daydongdinhhotang1	1630	3206
daydongdinhhotang1	1646	3195
daydongdinhhotang1	1670	3199
daydongdinhhotang1	1678	3208
daydongdinhhotang1	1669	3223
daydongdinhhotang1	1661	3251
daydongdinhhotang1	1662	3266
daydongdinhhotang1	1653	3266
daydongdinhhotang1	1634	3274
daydongdinhhotang1	1626	3275
daydongdinhhotang1	1606	3282
daydongdinhhotang1	1597	3306
daydongdinhhotang1	1586	3320
daydongdinhhotang1	1596	3341
daydongdinhhotang1	1608	3341
daydongdinhhotang1	1592	3335
daydongdinhhotang1	1583	3325
daydongdinhhotang1	1597	3308
daydongdinhhotang1	1605	3286
daydongdinhhotang1	1610	3275
daydongdinhhotang1	1620	3280
daydongdinhhotang1	1645	3272
daydongdinhhotang1	1655	3269
daydongdinhhotang1	1680	3267
daydongdinhhotang1	1701	3276
daydongdinhhotang1	1704	3291
daydongdinhhotang1	1695	3315
daydongdinhhotang1	1717	3318
daydongdinhhotang1	1735	3324
daydongdinhhotang1	1752	3308
daydongdinhhotang1	1770	3302
daydongdinhhotang1	1791	3294
daydongdinhhotang1	1801	3264
daydongdinhhotang1	1807	3253
daydongdinhhotang1	1831	3245
daydongdinhhotang1	1845	3228
daydongdinhhotang1	1852	3212
daydongdinhhotang1	1846	3194
daydongdinhhotang1	1834	3181
daydongdinhhotang1	1845	3148
daydongdinhhotang1	1831	3138
daydongdinhhotang1	1814	3138
daydongdinhhotang1	1788	3143
daydongdinhhotang1	1773	3157
daydongdinhhotang1	1760	3176
daydongdinhhotang1	1743	3182
daydongdinhhotang1	1723	3183
daydongdinhhotang1	1694	3171
daydongdinhhotang1	1682	3195
daydongdinhhotang1	1663	3190
daydongdinhhotang1	1646	3196
daydongdinhhotang1	1628	3203
daydongdinhhotang1	1607	3209
