PathName	X	Y
thanhloadaosondong	1600	3207
thanhloadaosondong	1610	3194
thanhloadaosondong	1626	3179
thanhloadaosondong	1633	3166
thanhloadaosondong	1648	3154
thanhloadaosondong	1669	3131
thanhloadaosondong	1648	3114
thanhloadaosondong	1628	3088
thanhloadaosondong	1619	3075
thanhloadaosondong	1638	3105
thanhloadaosondong	1669	3132
thanhloadaosondong	1684	3108
thanhloadaosondong	1700	3089
thanhloadaosondong	1722	3062
thanhloadaosondong	1708	3056
thanhloadaosondong	1712	3079
thanhloadaosondong	1694	3093
thanhloadaosondong	1672	3115
thanhloadaosondong	1668	3126
thanhloadaosondong	1680	3143
thanhloadaosondong	1703	3163
thanhloadaosondong	1730	3197
thanhloadaosondong	1750	3218
thanhloadaosondong	1768	3232
thanhloadaosondong	1786	3207
thanhloadaosondong	1813	3180
thanhloadaosondong	1836	3148
thanhloadaosondong	1857	3173
thanhloadaosondong	1884	3198
thanhloadaosondong	1899	3215
thanhloadaosondong	1880	3240
thanhloadaosondong	1864	3261
thanhloadaosondong	1841	3291
thanhloadaosondong	1822	3314
thanhloadaosondong	1803	3341
thanhloadaosondong	1820	3360
thanhloadaosondong	1828	3364
thanhloadaosondong	1856	3387
thanhloadaosondong	1872	3372
thanhloadaosondong	1887	3354
thanhloadaosondong	1907	3330
thanhloadaosondong	1924	3303
thanhloadaosondong	1944	3294
thanhloadaosondong	1968	3262
