PathName	X	Y
bachthuydong	1739	3208
bachthuydong	1727	3223
bachthuydong	1716	3223
bachthuydong	1703	3211
bachthuydong	1693	3202
bachthuydong	1684	3207
bachthuydong	1672	3207
bachthuydong	1654	3216
bachthuydong	1638	3198
bachthuydong	1624	3184
bachthuydong	1612	3161
bachthuydong	1613	3149
bachthuydong	1628	3126
bachthuydong	1631	3108
bachthuydong	1649	3119
bachthuydong	1670	3134
bachthuydong	1682	3145
bachthuydong	1698	3139
bachthuydong	1708	3122
bachthuydong	1686	3149
bachthuydong	1671	3135
bachthuydong	1655	3127
bachthuydong	1649	3118
bachthuydong	1627	3115
bachthuydong	1626	3100
bachthuydong	1615	3083
bachthuydong	1630	3068
bachthuydong	1646	3053
bachthuydong	1660	3042
bachthuydong	1673	3017
bachthuydong	1686	3015
bachthuydong	1698	3026
bachthuydong	1679	3006
bachthuydong	1670	3020
bachthuydong	1658	3038
bachthuydong	1642	3058
bachthuydong	1630	3068
bachthuydong	1612	3082
bachthuydong	1598	3084
bachthuydong	1589	3101
bachthuydong	1574	3119
bachthuydong	1557	3136
bachthuydong	1549	3146
bachthuydong	1560	3165
bachthuydong	1574	3185
bachthuydong	1594	3205
bachthuydong	1600	3218
bachthuydong	1590	3242
bachthuydong	1605	3265
bachthuydong	1597	3296
bachthuydong	1609	3312
bachthuydong	1628	3336
bachthuydong	1641	3337
bachthuydong	1651	3323
bachthuydong	1661	3308
