PathName	X	Y
daitudong	1692	2872
daitudong	1681	2883
daitudong	1658	2880
daitudong	1635	2907
daitudong	1615	2931
daitudong	1592	2957
daitudong	1572	2980
daitudong	1539	3018
daitudong	1519	3036
daitudong	1499	3057
daitudong	1488	3074
daitudong	1505	3099
daitudong	1527	3123
daitudong	1548	3153
daitudong	1563	3129
daitudong	1587	3105
daitudong	1605	3084
daitudong	1622	3095
daitudong	1635	3119
daitudong	1616	3143
daitudong	1612	3155
daitudong	1626	3181
daitudong	1640	3201
daitudong	1652	3212
daitudong	1676	3207
daitudong	1692	3204
daitudong	1713	3221
daitudong	1712	3244
daitudong	1726	3270
daitudong	1751	3287
daitudong	1767	3298
daitudong	1790	3290
daitudong	1807	3276
daitudong	1822	3252
daitudong	1826	3218
daitudong	1825	3199
daitudong	1815	3178
daitudong	1834	3161
daitudong	1845	3138
daitudong	1819	3103
daitudong	1800	3090
