PathName	X	Y
khoalangdong	1661	3331
khoalangdong	1652	3326
khoalangdong	1642	3313
khoalangdong	1642	3302
khoalangdong	1648	3292
khoalangdong	1664	3282
khoalangdong	1677	3275
khoalangdong	1682	3258
khoalangdong	1695	3252
khoalangdong	1712	3236
khoalangdong	1727	3218
khoalangdong	1742	3200
khoalangdong	1759	3183
khoalangdong	1776	3173
khoalangdong	1788	3169
khoalangdong	1791	3176
khoalangdong	1807	3192
khoalangdong	1818	3202
khoalangdong	1832	3187
khoalangdong	1840	3177
khoalangdong	1838	3157
khoalangdong	1828	3150
khoalangdong	1811	3127
khoalangdong	1829	3116
khoalangdong	1843	3097
khoalangdong	1833	3087
khoalangdong	1817	3068
khoalangdong	1800	3047
khoalangdong	1789	3027
khoalangdong	1776	3029
khoalangdong	1764	3047
khoalangdong	1751	3055
khoalangdong	1737	3068
khoalangdong	1722	3082
khoalangdong	1710	3099
khoalangdong	1701	3126
khoalangdong	1692	3131
khoalangdong	1679	3128
khoalangdong	1664	3133
khoalangdong	1653	3149
khoalangdong	1634	3158
khoalangdong	1624	3173
khoalangdong	1617	3188
khoalangdong	1625	3205
khoalangdong	1638	3214
khoalangdong	1648	3228
khoalangdong	1660	3225
khoalangdong	1669	3218
khoalangdong	1684	3203
khoalangdong	1704	3188
khoalangdong	1712	3170
khoalangdong	1707	3140
khoalangdong	1709	3112
khoalangdong	1715	3099
khoalangdong	1729	3104
khoalangdong	1746	3117
khoalangdong	1755	3125
khoalangdong	1757	3105
khoalangdong	1771	3091
khoalangdong	1780	3085
khoalangdong	1793	3073
khoalangdong	1806	3058
khoalangdong	1817	3067
khoalangdong	1826	3080
