PathName	X	Y
sonbaodong	1692	3017
sonbaodong	1710	3035
sonbaodong	1735	3056
sonbaodong	1755	3068
sonbaodong	1766	3079
sonbaodong	1763	3098
sonbaodong	1747	3114
sonbaodong	1735	3128
sonbaodong	1721	3122
sonbaodong	1700	3105
sonbaodong	1688	3095
sonbaodong	1680	3109
sonbaodong	1666	3128
sonbaodong	1655	3140
sonbaodong	1668	3156
sonbaodong	1688	3174
sonbaodong	1695	3184
sonbaodong	1683	3200
sonbaodong	1662	3223
sonbaodong	1650	3225
sonbaodong	1641	3236
sonbaodong	1624	3255
sonbaodong	1614	3242
sonbaodong	1596	3223
sonbaodong	1585	3218
sonbaodong	1581	3207
sonbaodong	1570	3195
sonbaodong	1558	3182
sonbaodong	1551	3150
sonbaodong	1558	3126
sonbaodong	1571	3106
sonbaodong	1573	3097
sonbaodong	1590	3099
sonbaodong	1611	3116
sonbaodong	1624	3122
sonbaodong	1653	3139
sonbaodong	1663	3133
sonbaodong	1679	3114
sonbaodong	1690	3099
sonbaodong	1701	3103
sonbaodong	1725	3124
sonbaodong	1737	3126
sonbaodong	1749	3111
sonbaodong	1762	3095
sonbaodong	1779	3073
sonbaodong	1789	3055
sonbaodong	1800	3041
sonbaodong	1824	3051
sonbaodong	1838	3039
sonbaodong	1855	3008
sonbaodong	1838	2988
sonbaodong	1828	2983
sonbaodong	1813	2967
sonbaodong	1796	2959
