PathName	X	Y
yentudong_2	1680	3391
yentudong_2	1661	3402
yentudong_2	1646	3410
yentudong_2	1628	3380
yentudong_2	1616	3379
yentudong_2	1598	3395
yentudong_2	1594	3416
yentudong_2	1576	3436
yentudong_2	1581	3456
yentudong_2	1565	3473
yentudong_2	1548	3497
yentudong_2	1535	3512
yentudong_2	1523	3535
yentudong_2	1550	3551
yentudong_2	1574	3563
yentudong_2	1586	3567
yentudong_2	1599	3550
yentudong_2	1621	3542
yentudong_2	1627	3522
yentudong_2	1614	3499
yentudong_2	1632	3476
yentudong_2	1649	3480
yentudong_2	1672	3490
yentudong_2	1685	3497
yentudong_2	1700	3477
yentudong_2	1720	3463
yentudong_2	1741	3450
yentudong_2	1761	3436
yentudong_2	1765	3424
yentudong_1	1311	3295
yentudong_1	1290	3309
yentudong_1	1271	3328
yentudong_1	1250	3348
yentudong_1	1263	3364
yentudong_1	1278	3387
yentudong_1	1296	3402
yentudong_1	1315	3416
yentudong_1	1324	3434
yentudong_1	1325	3453
yentudong_1	1318	3467
yentudong_1	1327	3480
yentudong_1	1339	3483
yentudong_1	1356	3503
yentudong_1	1379	3521
yentudong_1	1391	3536
yentudong_1	1414	3558
yentudong_1	1431	3571
yentudong_1	1453	3591
yentudong_1	1471	3614
yentudong_1	1483	3633
yentudong_1	1503	3657
yentudong_1	1522	3661
yentudong_1	1542	3662
yentudong_1	1565	3667
yentudong_1	1590	3670
yentudong_1	1604	3667
yentudong_1	1624	3638
yentudong_1	1637	3626
yentudong_1	1657	3626
yentudong_1	1685	3623
yentudong_1	1702	3608
yentudong_1	1715	3604
yentudong_1	1735	3581
yentudong_1	1756	3564
yentudong_1	1749	3526
yentudong_1	1771	3509
yentudong_1	1794	3501
yentudong_1	1812	3483
yentudong_1	1831	3467
