PathName	X	Y
tanlang	2284	2816
tanlang	2295	2803
tanlang	2310	2784
tanlang	2324	2766
tanlang	2344	2756
tanlang	2355	2730
tanlang	2365	2698
tanlang	2352	2676
tanlang	2335	2661
tanlang	2318	2641
tanlang	2299	2628
tanlang	2281	2608
tanlang	2274	2579
tanlang	2292	2555
tanlang	2309	2546
tanlang	2333	2514
tanlang	2344	2500
tanlang	2359	2490
tanlang	2391	2496
tanlang	2407	2511
tanlang	2405	2540
tanlang	2392	2572
tanlang	2388	2594
tanlang	2387	2608
tanlang	2404	2628
tanlang	2423	2641
tanlang	2438	2661
tanlang	2450	2648
tanlang	2463	2634
tanlang	2480	2619
tanlang	2500	2601
tanlang	2526	2629
tanlang	2549	2649
tanlang	2563	2668
tanlang	2548	2690
tanlang	2535	2706
tanlang	2521	2721
tanlang	2508	2730
tanlang	2488	2752
tanlang	2470	2765
tanlang	2453	2780
tanlang	2437	2761
tanlang	2410	2734
tanlang	2390	2714
tanlang	2363	2694
tanlang	2361	2708
tanlang	2352	2742
tanlang	2335	2762
tanlang	2323	2776
tanlang	2303	2787
tanlang	2293	2808
tanlang	2280	2819
