PathName	X	Y
mecungdaygieng	1588	3195
mecungdaygieng	1570	3179
mecungdaygieng	1554	3160
mecungdaygieng	1566	3149
mecungdaygieng	1581	3132
mecungdaygieng	1600	3113
mecungdaygieng	1621	3092
mecungdaygieng	1638	3103
mecungdaygieng	1656	3101
mecungdaygieng	1668	3093
mecungdaygieng	1697	3129
mecungdaygieng	1720	3143
mecungdaygieng	1733	3159
mecungdaygieng	1730	3176
mecungdaygieng	1722	3187
mecungdaygieng	1702	3210
mecungdaygieng	1715	3226
mecungdaygieng	1702	3242
mecungdaygieng	1683	3258
mecungdaygieng	1649	3291
mecungdaygieng	1635	3308
mecungdaygieng	1611	3332
mecungdaygieng	1590	3350
mecungdaygieng	1577	3360
mecungdaygieng	1566	3339
mecungdaygieng	1537	3317
mecungdaygieng	1511	3301
mecungdaygieng	1485	3265
mecungdaygieng	1451	3236
mecungdaygieng	1428	3213
mecungdaygieng	1408	3186
mecungdaygieng	1409	3151
mecungdaygieng	1428	3143
mecungdaygieng	1442	3125
mecungdaygieng	1462	3108
mecungdaygieng	1489	3077
mecungdaygieng	1521	3056
mecungdaygieng	1547	3026
mecungdaygieng	1569	2999
mecungdaygieng	1596	2972
mecungdaygieng	1611	2954
mecungdaygieng	1591	2926
mecungdaygieng	1568	2920
mecungdaygieng	1547	2948
mecungdaygieng	1520	2966
mecungdaygieng	1508	2984
mecungdaygieng	1493	3002
mecungdaygieng	1464	3021
mecungdaygieng	1442	3056
mecungdaygieng	1411	3075
mecungdaygieng	1387	3104
mecungdaygieng	1361	3131
mecungdaygieng	1341	3150
mecungdaygieng	1307	3180
mecungdaygieng	1334	3210
mecungdaygieng	1356	3232
mecungdaygieng	1397	3273
mecungdaygieng	1428	3302
mecungdaygieng	1455	3335
mecungdaygieng	1490	3368
mecungdaygieng	1527	3404
mecungdaygieng	1555	3430
mecungdaygieng	1581	3458
mecungdaygieng	1597	3457
