PathName	X	Y
phucnguusondong	1646	3555
phucnguusondong	1639	3530
phucnguusondong	1638	3495
phucnguusondong	1637	3458
phucnguusondong	1653	3447
phucnguusondong	1664	3443
phucnguusondong	1679	3461
phucnguusondong	1695	3487
phucnguusondong	1714	3485
phucnguusondong	1724	3460
phucnguusondong	1738	3441
phucnguusondong	1760	3422
phucnguusondong	1773	3411
phucnguusondong	1789	3392
phucnguusondong	1813	3393
phucnguusondong	1825	3394
phucnguusondong	1840	3376
phucnguusondong	1850	3360
phucnguusondong	1870	3342
phucnguusondong	1882	3321
phucnguusondong	1873	3300
phucnguusondong	1863	3271
phucnguusondong	1862	3246
phucnguusondong	1860	3216
phucnguusondong	1876	3196
phucnguusondong	1891	3194
phucnguusondong	1908	3214
phucnguusondong	1924	3240
phucnguusondong	1938	3262
phucnguusondong	1953	3288
phucnguusondong	1960	3316
phucnguusondong	1973	3304
phucnguusondong	1990	3293
phucnguusondong	2000	3280
phucnguusondong	2006	3261
phucnguusondong	1992	3234
phucnguusondong	1979	3215
phucnguusondong	1966	3185
phucnguusondong	1952	3165
phucnguusondong	1937	3132
phucnguusondong	1919	3107
phucnguusondong	1912	3075
phucnguusondong	1897	3039
phucnguusondong	1884	3005
phucnguusondong	1875	2975
phucnguusondong	1858	2944
phucnguusondong	1837	2961
phucnguusondong	1819	2983
phucnguusondong	1802	2983
phucnguusondong	1784	2956
phucnguusondong	1769	2943
phucnguusondong	1761	2947
phucnguusondong	1740	2960
phucnguusondong	1734	2978
phucnguusondong	1741	3010
phucnguusondong	1746	3053
phucnguusondong	1733	3074
phucnguusondong	1719	3089
phucnguusondong	1700	3093
phucnguusondong	1690	3072
phucnguusondong	1681	3046
phucnguusondong	1668	3034
phucnguusondong	1660	3036
phucnguusondong	1648	3050
