PathName	X	Y
mecungkequandong_1	1794	2864
mecungkequandong_1	1779	2887
mecungkequandong_1	1779	2911
mecungkequandong_1	1758	2924
mecungkequandong_1	1745	2936
mecungkequandong_1	1721	2925
mecungkequandong_1	1711	2943
mecungkequandong_1	1703	2963
mecungkequandong_1	1689	2977
mecungkequandong_1	1674	2958
mecungkequandong_1	1663	2974
mecungkequandong_1	1647	2992
mecungkequandong_1	1640	3008
mecungkequandong_1	1637	3021
mecungkequandong_1	1637	3032
mecungkequandong_1	1645	3039
mecungkequandong_1	1644	3065
mecungkequandong_1	1640	3084
mecungkequandong_1	1641	3111
mecungkequandong_1	1627	3123
mecungkequandong_1	1610	3136
mecungkequandong_1	1619	3153
mecungkequandong_1	1630	3169
mecungkequandong_1	1638	3170
mecungkequandong_1	1636	3188
mecungkequandong_1	1617	3206
mecungkequandong_1	1610	3214
mecungkequandong_2	1640	3008
mecungkequandong_2	1629	2988
mecungkequandong_2	1614	2984
mecungkequandong_2	1601	2982
mecungkequandong_2	1585	3000
mecungkequandong_2	1578	3020
mecungkequandong_2	1578	3037
mecungkequandong_2	1563	3049
mecungkequandong_2	1550	3043
mecungkequandong_2	1539	3026
mecungkequandong_2	1531	3015
mecungkequandong_2	1540	3007
mecungkequandong_2	1556	2998
mecungkequandong_2	1567	2995
mecungkequandong_2	1585	2995
mecungkequandong_2	1599	2978
mecungkequandong_2	1614	2972
mecungkequandong_2	1614	2952
mecungkequandong_2	1600	2930
mecungkequandong_2	1585	2920
mecungkequandong_2	1577	2918
mecungkequandong_2	1567	2919
mecungkequandong_2	1550	2924
mecungkequandong_2	1540	2921
mecungkequandong_2	1519	2899
mecungkequandong_2	1529	2881
mecungkequandong_2	1545	2861
mecungkequandong_2	1548	2841
mecungkequandong_2	1570	2843
mecungkequandong_2	1583	2846
mecungkequandong_2	1594	2835
mecungkequandong_2	1599	2820
mecungkequandong_2	1599	2801
mecungkequandong_2	1590	2789
mecungkequandong_2	1569	2770
mecungkequandong_2	1568	2758
mecungkequandong_2	1574	2745
mecungkequandong_2	1576	2726
mecungkequandong_2	1575	2706
mecungkequandong_2	1568	2695
mecungkequandong_2	1574	2683
mecungkequandong_2	1578	2666
mecungkequandong_2	1571	2661
