PathName	X	Y
tiencucdong	1526	3172
tiencucdong	1540	3155
tiencucdong	1549	3142
tiencucdong	1557	3160
tiencucdong	1566	3173
tiencucdong	1585	3195
tiencucdong	1602	3214
tiencucdong	1592	3232
tiencucdong	1598	3248
tiencucdong	1607	3264
tiencucdong	1601	3284
tiencucdong	1599	3298
tiencucdong	1607	3312
tiencucdong	1622	3327
tiencucdong	1635	3343
tiencucdong	1649	3326
tiencucdong	1659	3312
tiencucdong	1653	3286
tiencucdong	1645	3280
tiencucdong	1632	3260
tiencucdong	1617	3258
tiencucdong	1611	3267
tiencucdong	1597	3252
tiencucdong	1593	3236
tiencucdong	1599	3217
tiencucdong	1614	3202
tiencucdong	1622	3182
tiencucdong	1612	3164
tiencucdong	1610	3154
tiencucdong	1618	3141
tiencucdong	1634	3121
tiencucdong	1641	3113
tiencucdong	1652	3127
tiencucdong	1663	3126
tiencucdong	1674	3115
tiencucdong	1682	3097
tiencucdong	1673	3078
tiencucdong	1661	3062
tiencucdong	1652	3047
tiencucdong	1658	3038
tiencucdong	1672	3015
tiencucdong	1688	3014
tiencucdong	1672	3014
tiencucdong	1659	3033
tiencucdong	1651	3052
tiencucdong	1668	3069
tiencucdong	1683	3087
tiencucdong	1680	3098
tiencucdong	1675	3110
tiencucdong	1663	3127
tiencucdong	1654	3123
tiencucdong	1639	3116
tiencucdong	1625	3134
tiencucdong	1611	3150
tiencucdong	1615	3168
tiencucdong	1628	3192
tiencucdong	1650	3209
tiencucdong	1661	3213
tiencucdong	1674	3204
tiencucdong	1684	3206
tiencucdong	1696	3206
tiencucdong	1714	3221
tiencucdong	1726	3224
tiencucdong	1736	3210
