PathName	X	Y
linhcocdong	1751	3107
linhcocdong	1750	3119
linhcocdong	1764	3140
linhcocdong	1761	3159
linhcocdong	1751	3177
linhcocdong	1740	3185
linhcocdong	1727	3194
linhcocdong	1711	3180
linhcocdong	1690	3163
linhcocdong	1678	3145
linhcocdong	1667	3127
linhcocdong	1647	3113
linhcocdong	1626	3095
linhcocdong	1605	3076
linhcocdong	1600	3053
linhcocdong	1614	3041
linhcocdong	1628	3032
linhcocdong	1644	3024
linhcocdong	1661	3035
linhcocdong	1671	3048
linhcocdong	1657	3031
linhcocdong	1645	3022
linhcocdong	1630	3032
linhcocdong	1621	3034
linhcocdong	1608	3049
linhcocdong	1601	3062
linhcocdong	1614	3086
linhcocdong	1636	3107
linhcocdong	1631	3127
linhcocdong	1630	3146
linhcocdong	1631	3167
linhcocdong	1624	3190
linhcocdong	1619	3218
linhcocdong	1614	3230
linhcocdong	1598	3244
linhcocdong	1583	3249
linhcocdong	1573	3238
linhcocdong	1553	3212
linhcocdong	1548	3192
linhcocdong	1549	3164
linhcocdong	1562	3144
linhcocdong	1572	3135
linhcocdong	1591	3135
linhcocdong	1597	3147
linhcocdong	1589	3172
linhcocdong	1590	3185
